#t	x1	x2	abserr	h	yscale
3.9915470430e+00	-2.2822600118e-02	1.2707997696e-02	1.5617215634e-12	3.2975742142e-02	2.5317451843e-02
4.0245227851e+00	-2.1617047661e-02	1.3096431072e-02	1.4818559426e-12	3.2693823125e-02	2.4040809689e-02
4.0572166082e+00	-2.0447585786e-02	1.3426665591e-02	1.4045433792e-12	3.2418013505e-02	2.2799538706e-02
4.0896346217e+00	-1.9314404125e-02	1.3702822408e-02	1.3297468196e-12	3.2147120335e-02	2.1594084594e-02
4.1217817421e+00	-1.8217579195e-02	1.3928781690e-02	1.2574319828e-12	3.1880055505e-02	2.0424758022e-02
4.1536617976e+00	-1.7157084266e-02	1.4108201058e-02	1.1875659227e-12	3.1615811929e-02	1.9291745890e-02
4.1852776095e+00	-1.6132798650e-02	1.4244531610e-02	1.1201157251e-12	3.1353444817e-02	1.8195121895e-02
4.2166310543e+00	-1.5144516373e-02	1.4341032033e-02	1.0550481672e-12	3.1092053780e-02	1.7134856502e-02
4.2477231081e+00	-1.4191954342e-02	1.4400781145e-02	9.9232897754e-13	3.0830768302e-02	1.6110826201e-02
4.2785538764e+00	-1.3274759982e-02	1.4426689150e-02	9.3192266391e-13	3.0652694447e-02	1.5331649053e-02
4.3092065709e+00	-1.2390132658e-02	1.4421452993e-02	8.8589935597e-13	3.0783223293e-02	1.5324948416e-02
4.3399897942e+00	-1.1529288902e-02	1.4386958352e-02	8.8467723084e-13	3.0911204314e-02	1.5296126555e-02
4.3709009985e+00	-1.0692767361e-02	1.4324670611e-02	8.8185499413e-13	3.1035703511e-02	1.5237473900e-02
4.4019367020e+00	-9.8810605507e-03	1.4236058125e-02	8.7732307848e-13	3.1157140752e-02	1.5150501757e-02
4.4330938427e+00	-9.0945781040e-03	1.4122586687e-02	8.7117432940e-13	3.1275910346e-02	1.5036762460e-02
4.4643697531e+00	-8.3336505518e-03	1.3985714170e-02	8.6350206731e-13	3.1392379265e-02	1.4897802069e-02
4.4957621323e+00	-7.5985332013e-03	1.3826885753e-02	8.5439870278e-13	3.1506892205e-02	1.4735154892e-02
4.5272690245e+00	-6.8894099167e-03	1.3647529671e-02	8.4395550119e-13	3.1619775933e-02	1.4550338807e-02
4.5588888005e+00	-6.2063968137e-03	1.3449053430e-02	8.3226244856e-13	3.1731342469e-02	1.4344851080e-02
4.5906201429e+00	-5.5495458875e-03	1.3232840457e-02	8.1940795336e-13	3.1841892582e-02	1.4120164645e-02
4.6224620355e+00	-4.9188485646e-03	1.3000247122e-02	8.0547861826e-13	3.1951719387e-02	1.3877724817e-02
4.6544137549e+00	-4.3142391708e-03	1.2752600127e-02	7.9055917012e-13	3.2061111084e-02	1.3618946400e-02
4.6864748660e+00	-3.7355983335e-03	1.2491194201e-02	7.7473224960e-13	3.2170354094e-02	1.3345211128e-02
4.7186452201e+00	-3.1827563067e-03	1.2217290095e-02	7.5807832825e-13	3.2279735842e-02	1.3057865434e-02
4.7509249559e+00	-2.6554962261e-03	1.1932112846e-02	7.4067551843e-13	3.2389548245e-02	1.2758218513e-02
4.7833145042e+00	-2.1535572814e-03	1.1636850283e-02	7.2259955086e-13	3.2500090732e-02	1.2447540663e-02
4.8158145949e+00	-1.6766378186e-03	1.1332651761e-02	7.0392367109e-13	3.2611673640e-02	1.2127061857e-02
